frame,steering,throttle,vector_index,x0,y0,x1,y1,flags
86,-0.5,0,182,23,42,25,5,0
86,-0.5,0,183,37,40,44,5,0
86,-0.5,0,186,53,42,59,0,0
87,-0.5,0,182,23,43,25,5,0
87,-0.5,0,183,37,40,43,4,0
87,-0.5,0,186,53,42,59,0,0
88,-0.5,0,182,23,43,26,5,0
88,-0.5,0,183,37,40,44,5,0
88,-0.5,0,186,54,43,60,0,0
89,-0.5,0,182,23,43,26,5,0
89,-0.5,0,183,37,39,43,4,0
89,-0.5,0,186,54,43,60,0,0
90,-0.5,0,182,23,43,26,5,0
90,-0.5,0,183,36,40,42,5,0
90,-0.5,0,186,53,39,59,0,0
91,-0.45,0,182,23,43,26,5,0
91,-0.45,0,183,37,40,42,5,0
91,-0.45,0,186,53,40,60,0,0
92,-0.405,0,182,23,43,26,5,0
92,-0.405,0,183,37,40,43,4,0
92,-0.405,0,186,53,43,60,0,0
93,-0.36450000000000005,0,182,23,43,26,5,0
93,-0.36450000000000005,0,183,36,40,44,5,0
93,-0.36450000000000005,0,186,53,43,60,0,0
94,-0.32805000000000006,0,182,23,43,26,5,0
94,-0.32805000000000006,0,183,36,40,42,5,0
94,-0.32805000000000006,0,186,53,42,59,0,0
95,-0.2952450000000001,0,182,23,43,26,5,0
95,-0.2952450000000001,0,183,37,39,43,4,0
95,-0.2952450000000001,0,186,53,43,60,0,0
96,-0.2657205000000001,0,182,23,43,26,5,0
96,-0.2657205000000001,0,183,37,39,43,4,0
96,-0.2657205000000001,0,186,53,43,60,0,0
97,-0.23914845000000007,0,182,23,43,26,5,0
97,-0.23914845000000007,0,183,36,40,44,5,0
97,-0.23914845000000007,0,186,53,39,59,0,0
98,-0.21523360500000008,0,182,23,43,25,5,0
98,-0.21523360500000008,0,183,36,40,42,5,0
98,-0.21523360500000008,0,186,53,42,60,0,0
99,-0.19371024450000007,0,182,23,43,26,5,0
99,-0.19371024450000007,0,183,37,39,43,4,0
99,-0.19371024450000007,0,186,54,43,60,0,0
100,-0.17433922005000008,0,182,23,43,26,5,0
100,-0.17433922005000008,0,183,36,40,44,5,0
100,-0.17433922005000008,0,186,53,38,59,0,0
101,-0.1543392200500001,0,182,23,43,25,5,0
101,-0.1543392200500001,0,183,37,39,43,4,0
101,-0.1543392200500001,0,186,53,43,59,0,0
102,-0.1343392200500001,0,182,23,43,26,5,0
102,-0.1343392200500001,0,183,37,39,43,5,0
102,-0.1343392200500001,0,186,54,43,60,0,0
103,-0.11433922005000009,0,182,23,43,25,5,0
103,-0.11433922005000009,0,183,36,40,44,5,0
103,-0.11433922005000009,0,186,54,43,60,0,0
104,-0.09433922005000009,0,182,23,43,25,5,0
104,-0.09433922005000009,0,183,36,40,44,5,0
104,-0.09433922005000009,0,186,53,39,59,0,0
105,-0.07433922005000008,0,182,23,43,26,5,0
105,-0.07433922005000008,0,183,37,40,44,5,0
105,-0.07433922005000008,0,186,52,43,60,0,0
106,-0.05433922005000008,0,182,23,43,26,5,0
106,-0.05433922005000008,0,183,37,40,43,4,0
106,-0.05433922005000008,0,186,53,42,60,0,0
107,-0.03433922005000008,0,182,23,43,25,5,0
107,-0.03433922005000008,0,183,37,40,43,4,0
107,-0.03433922005000008,0,186,56,23,59,0,0
108,-0.014339220050000077,0,182,23,42,26,5,0
108,-0.014339220050000077,0,183,37,40,44,5,0
108,-0.014339220050000077,0,186,53,42,60,0,0
109,0.005660779949999924,0,182,23,43,26,5,0
109,0.005660779949999924,0,183,37,40,43,4,0
109,0.005660779949999924,0,186,54,33,60,0,0
110,0.025660779949999924,0,182,22,43,25,5,0
110,0.025660779949999924,0,183,37,40,43,4,0
110,0.025660779949999924,0,186,53,39,60,0,0
111,0.045660779949999925,0,182,23,43,26,5,0
111,0.045660779949999925,0,183,37,40,44,5,0
111,0.045660779949999925,0,186,53,39,60,0,0
112,0.06566077994999993,0,182,23,42,26,5,0
112,0.06566077994999993,0,183,37,40,44,5,0
112,0.06566077994999993,0,186,54,43,60,0,0
113,0.08566077994999993,0,182,23,42,26,5,0
113,0.08566077994999993,0,183,37,40,44,5,0
113,0.08566077994999993,0,186,54,43,60,0,0
114,0.10566077994999994,0,182,23,43,25,5,0
114,0.10566077994999994,0,183,37,40,44,5,0
114,0.10566077994999994,0,186,54,43,60,0,0
115,0.12566077994999994,0,182,23,43,26,5,0
115,0.12566077994999994,0,183,37,40,44,5,0
115,0.12566077994999994,0,186,54,43,60,0,0
116,0.14566077994999993,0,182,23,43,25,5,0
116,0.14566077994999993,0,183,37,40,43,4,0
116,0.14566077994999993,0,186,53,40,60,0,0
117,0.16566077994999992,0,182,23,43,26,5,0
117,0.16566077994999992,0,183,37,40,44,5,0
117,0.16566077994999992,0,186,54,43,60,0,0
118,0.1856607799499999,0,182,23,42,25,5,0
118,0.1856607799499999,0,183,37,40,44,5,0
118,0.1856607799499999,0,186,54,43,60,0,0
119,0.2056607799499999,0,182,23,42,25,5,0
119,0.2056607799499999,0,183,37,40,44,5,0
119,0.2056607799499999,0,186,53,42,60,0,0
120,0.2256607799499999,0,182,22,43,25,5,0
120,0.2256607799499999,0,183,37,40,44,5,0
120,0.2256607799499999,0,186,54,43,60,0,0
121,0.24566077994999988,0,182,23,43,25,5,0
121,0.24566077994999988,0,183,37,40,44,5,0
121,0.24566077994999988,0,186,54,43,60,0,0
122,0.26566077994999987,0,182,23,43,25,5,0
122,0.26566077994999987,0,183,38,36,43,4,0
122,0.26566077994999987,0,186,54,43,60,0,0
123,0.2856607799499999,0,182,23,43,25,5,0
123,0.2856607799499999,0,183,37,40,43,4,0
123,0.2856607799499999,0,186,53,40,60,0,0
124,0.3056607799499999,0,182,23,43,26,5,0
124,0.3056607799499999,0,183,37,40,44,5,0
124,0.3056607799499999,0,186,54,43,60,0,0
125,0.3256607799499999,0,182,23,43,25,5,0
125,0.3256607799499999,0,183,37,40,44,5,0
125,0.3256607799499999,0,186,54,43,60,0,0
126,0.34566077994999994,0,182,23,42,26,5,0
126,0.34566077994999994,0,183,38,36,42,5,0
126,0.34566077994999994,0,186,54,43,60,0,0
127,0.36566077994999996,0,182,23,43,25,5,0
127,0.36566077994999996,0,183,37,40,44,5,0
127,0.36566077994999996,0,186,54,43,60,0,0
128,0.38566077995,0,182,23,43,25,5,0
128,0.38566077995,0,183,37,40,44,5,0
128,0.38566077995,0,186,54,43,60,0,0
129,0.40566077995,0,182,23,43,25,5,0
129,0.40566077995,0,183,37,40,43,4,0
129,0.40566077995,0,186,52,43,60,0,0
130,0.42566077995,0,182,23,42,25,5,0
130,0.42566077995,0,183,37,40,43,4,0
130,0.42566077995,0,186,54,43,60,0,0
131,0.44566077995000003,0,182,23,42,25,5,0
131,0.44566077995000003,0,183,38,36,44,5,0
131,0.44566077995000003,0,186,54,43,60,0,0
132,0.46566077995000005,0,182,23,43,25,5,0
132,0.46566077995000005,0,183,38,37,43,4,0
132,0.46566077995000005,0,186,55,43,60,0,0
133,0.48566077995000007,0,182,23,43,26,5,0
133,0.48566077995000007,0,183,38,36,43,4,0
133,0.48566077995000007,0,186,56,23,60,0,0
134,0.5,0,182,23,43,26,5,0
134,0.5,0,183,37,40,44,5,0
134,0.5,0,186,53,42,60,0,0
135,0.5,0,182,23,43,25,5,0
135,0.5,0,183,38,37,43,4,0
135,0.5,0,186,55,43,60,0,0
136,0.5,0,182,23,42,25,5,0
136,0.5,0,183,37,40,43,4,0
136,0.5,0,186,53,43,60,0,0
137,0.5,0,182,23,42,26,5,0
137,0.5,0,183,37,40,43,4,0
137,0.5,0,186,53,42,59,0,0
138,0.45,0,182,23,42,25,5,0
138,0.45,0,183,37,40,43,4,0
138,0.45,0,186,55,43,60,0,0
139,0.405,0,182,23,43,27,5,0
139,0.405,0,183,37,39,43,4,0
139,0.405,0,186,54,43,60,0,0
140,0.36450000000000005,0,182,23,43,26,5,0
140,0.36450000000000005,0,183,37,40,43,4,0
140,0.36450000000000005,0,186,54,43,60,0,0
141,0.32805000000000006,0,182,23,43,26,5,0
141,0.32805000000000006,0,183,37,40,43,4,0
141,0.32805000000000006,0,186,53,42,60,0,0
142,0.2952450000000001,0,182,23,42,26,5,0
142,0.2952450000000001,0,183,37,40,43,4,0
142,0.2952450000000001,0,186,54,43,60,0,0
143,0.2657205000000001,0,182,23,43,26,5,0
143,0.2657205000000001,0,183,37,40,43,4,0
143,0.2657205000000001,0,186,54,43,60,0,0
144,0.23914845000000007,0,182,23,43,25,5,0
144,0.23914845000000007,0,183,37,40,43,4,0
144,0.23914845000000007,0,186,55,43,60,0,0
145,0.21523360500000008,0,182,23,43,27,5,0
145,0.21523360500000008,0,183,38,37,43,4,0
145,0.21523360500000008,0,186,54,43,60,0,0
146,0.19371024450000007,0,182,23,43,27,5,0
146,0.19371024450000007,0,183,38,37,43,4,0
146,0.19371024450000007,0,186,53,42,60,0,0
147,0.21371024450000006,0,182,23,43,27,5,0
147,0.21371024450000006,0,183,38,37,43,4,0
147,0.21371024450000006,0,186,55,43,60,0,0
148,0.23371024450000005,0,182,23,42,26,5,0
148,0.23371024450000005,0,183,37,39,43,4,0
148,0.23371024450000005,0,186,53,42,60,0,0
149,0.21033922005000005,0,182,23,43,27,5,0
149,0.21033922005000005,0,183,38,37,43,4,0
149,0.21033922005000005,0,186,55,43,60,0,0
150,0.18930529804500004,0,182,23,43,27,5,0
150,0.18930529804500004,0,183,38,37,43,4,0
150,0.18930529804500004,0,186,56,26,60,0,0
151,0.17037476824050005,0,182,23,43,26,5,0
151,0.17037476824050005,0,183,38,37,44,6,0
151,0.17037476824050005,0,186,54,42,60,0,0
152,0.19037476824050004,0,182,23,43,28,5,0
152,0.19037476824050004,0,183,38,37,43,4,0
152,0.19037476824050004,0,186,54,42,60,0,0
153,0.21037476824050003,0,182,23,43,27,5,0
153,0.21037476824050003,0,183,38,37,43,4,0
153,0.21037476824050003,0,186,54,42,60,0,0
154,0.18933729141645003,0,182,23,42,27,5,0
154,0.18933729141645003,0,183,39,38,43,4,0
154,0.18933729141645003,0,186,54,42,60,0,0
155,0.17040356227480502,0,182,23,42,26,5,0
155,0.17040356227480502,0,183,39,38,43,4,0
155,0.17040356227480502,0,186,54,42,60,0,0
156,0.15336320604732454,0,182,23,42,26,5,0
156,0.15336320604732454,0,183,38,37,43,4,0
156,0.15336320604732454,0,186,54,42,60,0,0
157,0.17336320604732453,0,182,23,42,27,5,0
157,0.17336320604732453,0,183,38,37,43,4,0
157,0.17336320604732453,0,186,56,28,60,0,0
158,0.19336320604732452,0,182,23,42,27,5,0
158,0.19336320604732452,0,183,38,37,43,4,0
158,0.19336320604732452,0,186,54,42,60,0,0
159,0.17402688544259207,0,182,23,42,26,5,0
159,0.17402688544259207,0,183,39,38,43,4,0
159,0.17402688544259207,0,186,54,42,60,0,0
160,0.15662419689833287,0,182,23,42,26,5,0
160,0.15662419689833287,0,183,38,37,43,4,0
160,0.15662419689833287,0,186,54,42,60,0,0
161,0.1409617772084996,0,182,23,42,26,5,0
161,0.1409617772084996,0,183,38,37,43,4,0
161,0.1409617772084996,0,186,54,42,60,0,0
162,0.16096177720849958,0,182,23,42,27,5,0
162,0.16096177720849958,0,183,39,38,43,4,0
162,0.16096177720849958,0,186,54,42,60,0,0
163,0.18096177720849957,0,182,23,42,27,5,0
163,0.18096177720849957,0,183,39,38,43,4,0
163,0.18096177720849957,0,186,54,42,60,0,0
164,0.16286559948764961,0,182,23,42,26,5,0
164,0.16286559948764961,0,183,38,37,43,4,0
164,0.16286559948764961,0,186,54,42,60,0,0
165,0.14657903953888465,0,182,23,42,27,5,0
165,0.14657903953888465,0,183,39,38,43,4,0
165,0.14657903953888465,0,186,54,42,60,0,0
166,0.13192113558499619,0,182,23,42,26,5,0
166,0.13192113558499619,0,183,39,38,43,4,0
166,0.13192113558499619,0,186,54,42,60,0,0
167,0.15192113558499618,0,182,23,42,26,5,0
167,0.15192113558499618,0,183,39,38,43,4,0
167,0.15192113558499618,0,186,54,42,60,0,0
168,0.17192113558499617,0,182,23,42,27,5,0
168,0.17192113558499617,0,183,38,37,43,4,0
168,0.17192113558499617,0,186,54,42,60,0,0
169,0.15472902202649655,0,182,23,42,26,5,0
169,0.15472902202649655,0,183,38,37,43,4,0
169,0.15472902202649655,0,186,54,42,60,0,0
170,0.1392561198238469,0,182,23,42,27,5,0
170,0.1392561198238469,0,183,38,37,43,4,0
170,0.1392561198238469,0,186,54,42,60,0,0
171,0.1253305078414622,0,182,23,42,26,5,0
171,0.1253305078414622,0,183,38,38,43,4,0
171,0.1253305078414622,0,186,54,42,60,0,0
172,0.1453305078414622,0,182,23,42,27,5,0
172,0.1453305078414622,0,183,39,38,43,4,0
